Date,Open,High,Low,Close,Adj Close,Volume
2022-01-27,17.309999,18.120001,17.27,17.610001,17.610001,6707200
2022-01-26,17.07,17.700001,16.93,17.139999,17.139999,7791300
2022-01-25,16.16,16.9,16.110001,16.84,16.84,4233900
2022-01-24,17.0,17.16,16.049999,16.42,16.42,6630800
2022-01-21,16.84,17.190001,16.719999,17.059999,17.059999,3627000
2022-01-20,16.4,17.379999,16.379999,17.01,17.01,6930200
2022-01-19,16.549999,17.34,16.32,16.450001,16.450001,5933500
2022-01-18,16.620001,16.83,16.280001,16.379999,16.379999,3633200
2022-01-17,16.85,17.049999,16.530001,16.77,16.77,1869000
2022-01-14,16.66,16.93,16.43,16.93,16.93,2748300
2022-01-13,16.5,17.129999,16.360001,16.75,16.75,4435500
2022-01-12,16.17,16.700001,16.02,16.700001,16.700001,4457800
2022-01-11,15.73,16.290001,15.57,16.17,16.17,3976800
2022-01-10,15.75,15.77,15.34,15.7,15.7,4616200
2022-01-07,15.27,15.99,15.1,15.77,15.77,3765500
2022-01-06,15.39,15.65,14.86,15.5,15.5,4699400
2022-01-05,16.110001,16.190001,15.23,15.23,15.23,5173300
2022-01-04,16.959999,16.99,16.25,16.34,16.34,3137800
2022-01-03,17.209999,17.469999,16.58,16.74,16.74,5537500
2021-12-30,16.98,17.32,16.82,17.030001,17.030001,5503900
2021-12-29,17.76,17.879999,16.66,16.66,16.66,4434800
2021-12-28,18.1,18.190001,17.75,17.860001,17.860001,3098000
2021-12-27,18.24,18.620001,17.950001,18.040001,18.040001,3569600
2021-12-23,18.719999,18.860001,18.26,18.43,18.43,3463300
2021-12-22,18.290001,18.9,17.950001,18.67,18.67,4856000
2021-12-21,17.799999,18.5,17.25,18.299999,18.299999,5454200
2021-12-20,17.450001,17.93,17.200001,17.41,17.41,3513200
2021-12-17,17.66,18.48,17.4,18.18,18.18,4449400
2021-12-16,18.77,19.0,17.950001,18.030001,18.030001,3943500
2021-12-15,18.41,18.57,17.799999,18.469999,18.469999,5652000
2021-12-14,18.58,18.879999,18.129999,18.299999,18.299999,6242200
2021-12-13,19.17,19.639999,18.370001,18.370001,18.370001,5833300
2021-12-10,19.620001,20.049999,19.120001,19.200001,19.200001,6763900
2021-12-09,18.25,19.65,18.049999,19.35,19.35,7888800
2021-12-08,17.16,18.700001,17.059999,18.68,18.68,8646800
2021-12-07,17.549999,17.91,16.870001,17.110001,17.110001,7937500
2021-12-06,15.5,17.129999,15.35,16.889999,16.889999,10913700
2021-12-03,15.01,15.93,15.01,15.17,15.17,8159100
2021-12-02,15.05,15.21,14.58,15.04,15.04,8239600
2021-12-01,16.190001,16.73,14.8,14.8,14.8,11250500
2021-11-30,15.31,16.0,14.86,16.0,16.0,11236900
2021-11-29,15.67,15.77,15.1,15.6,15.6,12058000
2021-11-26,15.75,15.99,14.72,15.08,15.08,22649700
2021-11-25,15.51,17.1,15.47,17.1,17.1,8536500
2021-11-24,15.53,16.18,15.11,15.59,15.59,8016700
2021-11-23,16.4,16.51,15.24,15.64,15.64,7169200
2021-11-22,16.889999,17.27,16.17,16.200001,16.200001,4782400
2021-11-19,16.559999,16.959999,16.25,16.709999,16.709999,3992700
2021-11-18,16.99,17.5,16.49,16.65,16.65,4760000
2021-11-17,17.07,17.370001,16.469999,16.93,16.93,7192500
2021-11-16,17.690001,17.799999,16.73,16.870001,16.870001,4906100
2021-11-12,17.99,18.33,17.440001,17.549999,17.549999,4970600
